SPEED,INTENT
 69.7,1
 71.8,2
 70.4,2
 73.5,2
 67.7,2
 66.8,0
 65.3,0
 67.4,0
 68.3,1
 69.3,2
 63.2,1
 69.2,1
 70.7,2
 62.9,0
 73.7,2
 66.1,1
 68.5,2
 66.2,0
 67.5,0
 67.9,0
 67.3,1
 66.9,0
 66.4,0
 74.9,2
 66.2,0
 67.4,2
 69.9,1
 69.7,2
 69.9,1
 68.8,1
 67.0,2
 68.0,1
 66.8,1
 69.2,0
 65.8,0
 72.7,2
 68.5,1
 69.0,2
 73.4,2
 64.8,0
 68.8,2
 68.6,2
 69.4,1
 68.8,0
 66.7,1
 68.3,0
 66.7,0
 72.6,2
 69.5,1
 67.9,1
 66.9,0
 66.9,2
 65.4,0
 69.8,1
 69.4,2
 68.8,1
 67.0,0
 64.8,0
 70.0,1
 68.3,1
 69.3,1
 64.8,0
 67.5,1
 73.9,2
 74.4,2
 65.2,1
 67.6,0
 61.7,1
 70.0,1
 65.3,0
 67.4,1
 65.4,0
 68.4,1
 69.1,1
 69.2,1
 68.1,0
 70.0,1
 73.5,2
 67.7,1
 69.0,2
 74.4,2
 67.9,1
 68.0,0
 70.6,2
 65.3,0
 64.7,0
 64.2,0
 63.6,0
 69.1,2
 65.0,0
 65.4,0
 69.2,1
 66.9,0
 68.2,2
 66.6,1
 67.0,0
 64.3,1
 66.6,2
 66.0,1
 65.9,1
 67.7,1
 64.7,0
 69.1,1
 69.5,1
 68.6,1
 73.2,2
 69.9,1
 66.5,0
 65.9,1
 71.0,2
 64.8,0
 69.9,2
 63.6,1
 71.7,2
 70.0,1
 65.9,0
 70.0,1
 68.0,2
 70.0,1
 65.0,0
 69.1,2
 72.0,2
 70.4,2
 69.5,1
 76.9,2
 67.2,2
 65.4,0
 67.9,1
 68.4,2
 64.0,0
 65.7,0
 65.1,0
 67.7,0
 65.7,0
 67.4,0
 68.1,2
 70.0,1
 64.0,0
 72.6,2
 64.7,1
 66.8,0
 67.1,0
 66.5,0
 67.8,0
 69.8,1
 65.6,0
 66.8,1
 73.9,2
 66.8,0
 69.8,1
 70.3,2
 68.0,0
 64.2,1
 65.7,1
 70.0,1
 69.4,1
 65.3,0
 73.9,2
 67.5,1
 70.4,2
 65.7,1
 70.8,2
 66.8,2
 72.0,2
 69.8,2
 66.7,0
 69.8,1
 67.4,1
 63.2,0
 63.0,0
 65.5,0
 65.8,0
 67.7,1
 69.5,2
 68.7,1
 64.8,1
 72.5,2
 69.1,1
 70.0,1
 62.4,0
 65.3,1
 63.6,0
 69.7,2
 65.4,0
 70.2,2
 70.0,1
 66.0,0
 70.0,1
 66.3,0
 65.4,0
 66.2,0
 68.7,1
 69.4,2
 69.3,1
 66.8,0
 65.0,0
 64.6,0
 70.8,2
 76.3,2
 70.0,1
 71.6,2
 70.0,1
 68.6,1
 65.6,0
 68.7,2
 68.4,0
 65.8,0
 66.4,1
 68.5,1
 66.8,1
 72.9,2
 67.0,1
 71.6,2
 67.1,0
 64.9,0
 72.6,2
 75.1,2
 64.3,1
 68.2,2
 65.3,1
 67.8,2
 67.5,1
 68.1,1
 71.3,2
 68.3,2
 63.9,0
 70.0,1
 65.0,1
 69.3,1
 66.7,1
 68.8,1
 66.5,0
 68.7,1
 66.6,0
 70.0,2
 73.3,2
 65.5,0
 70.8,2
 74.0,2
 66.9,0
 70.4,2
 67.9,0
 65.9,0
 66.6,0
 68.1,1
 64.3,0
 69.2,1
 74.8,2
 68.6,1
 70.9,2
 66.8,1
 73.2,2
 74.3,2
 65.9,0
 66.1,0
 70.0,1
 64.4,0
 68.6,2
 67.6,1
 69.8,2
 67.3,2
 66.7,2
 70.0,0
 65.8,0
 74.8,2
 69.5,1
 66.2,1
 69.3,1
 66.2,0
 70.8,2
 66.2,0
 65.6,1
 65.4,1
 66.8,0
 65.2,0
 66.2,0
 67.3,1
 68.6,0
 72.0,2
 66.7,0
 70.8,2
 73.1,2
 73.7,2
 67.2,0
 68.3,2
 73.5,2
 69.1,0
 65.3,0
 66.7,0
 69.7,1
 69.2,0
 70.0,1
 68.7,1
 71.9,2
 69.2,1
 71.9,2
 64.4,0
 65.5,0
 64.4,0
 63.8,0
 72.0,2
 67.1,0
 69.7,2
 74.2,2
 68.1,1
 68.2,0
 72.2,2
 67.5,1
 65.1,0
 67.4,1
 66.6,0
 62.4,0
 74.3,2
 73.2,2
 69.9,2
 66.6,0
 73.4,2
 66.0,0
 65.0,1
 67.7,1
 67.2,1
 67.8,0
 69.3,1
 66.1,0
 75.1,2
 66.5,0
 69.0,0
 67.2,0
 66.3,1
 66.5,2
 66.5,1
 64.0,0
 74.5,2
 72.8,2
 68.8,1
 66.8,1
 66.2,1
 69.9,1
 70.0,1
 66.6,0
 68.9,1
 64.2,0
 71.5,2
 66.8,0
 74.8,2
 71.7,2
 66.0,0
 70.0,1
 65.8,0
 71.0,2
 69.7,2
 67.3,1
 68.5,1
 69.2,2
 64.2,0
 70.0,1
 72.7,2
 68.4,1
 68.4,2
 73.2,2
 67.3,1
 66.8,0
 74.0,2
 67.2,1
 68.9,1
 66.7,0
 70.0,1
 66.7,0
 69.6,2
 69.1,0
 68.3,0
 73.4,2
 69.1,2
 70.0,1
 71.5,2
 66.2,0
 68.3,1
 67.4,0
 65.6,1
 75.0,2
 67.0,1
 63.0,1
 69.4,0
 69.0,1
 67.4,2
 66.8,1
 68.9,2
 70.0,1
 65.2,0
 70.0,1
 68.6,1
 64.0,0
 69.2,1
 68.9,2
 64.2,0
 63.9,0
 67.8,0
 64.1,0
 66.5,0
 67.4,0
 73.7,2
 65.6,2
 67.6,2
 65.7,0
 66.5,1
 66.6,1
 65.5,1
 69.4,2
 66.6,1
 70.0,1
 70.7,2
 68.1,0
 68.3,1
 64.6,0
 63.9,0
 73.5,2
 70.0,1
 69.7,1
 71.2,2
 67.3,0
 67.4,1
 69.2,1
 70.1,2
 65.9,0
 67.7,1
 64.5,0
 63.6,1
 69.0,1
 72.3,2
 65.5,0
 69.7,1
 69.5,1
 70.0,1
 68.7,1
 66.4,1
 73.1,2
 72.0,2
 69.7,1
 65.5,1
 71.8,2
 66.0,0
 71.4,2
 65.7,0
 67.7,1
 72.5,2
 69.3,1
 66.1,0
 66.8,0
 69.1,1
 71.9,2
 69.4,1
 69.3,1
 65.3,1
 66.7,0
 66.5,1
 66.1,0
 70.0,1
 65.6,0
 67.3,1
 70.0,1
 67.8,0
 70.0,1
 64.2,1
 65.5,1
 70.6,2
 65.9,0
 66.4,0
 67.1,2
 63.5,0
 73.9,2
 67.2,0
 70.0,1
 67.1,0
 74.1,2
 67.5,0
 74.1,2
 66.0,1
 66.3,0
 68.0,1
 68.2,1
 65.0,0
 70.5,2
 67.2,1
 66.0,0
 67.1,1
 65.9,0
 69.0,1
 65.6,1
 66.3,0
 64.1,0
 65.9,0
 69.9,1
 65.5,1
 65.5,1
 65.2,1
 70.1,2
 64.7,1
 73.2,2
 68.5,1
 66.9,1
 67.6,1
 71.4,2
 62.7,0
 65.2,0
 68.8,1
 63.8,0
 74.1,2
 69.2,2
 70.4,2
 66.3,1
 66.7,1
 66.7,0
 67.5,1
 63.9,0
 65.8,0
 70.0,1
 66.1,1
 70.0,1
 64.9,0
 70.1,2
 74.1,2
 68.2,1
 67.2,0
 68.4,1
 70.7,2
 77.4,2
 68.0,1
 63.5,1
 69.4,0
 67.8,0
 65.9,0
 67.7,0
 65.8,0
 68.8,2
 70.0,1
 68.0,0
 64.7,1
 67.6,1
 71.1,2
 68.0,1
 66.1,1
 66.2,0
 67.5,2
 69.7,2
 65.2,0
 65.5,0
 64.5,0
 65.9,0
 68.3,2
 70.0,1
 70.0,1
 72.5,2
 64.1,0
 73.5,2
 68.5,1
 74.1,2
 69.8,2
 66.4,0
 69.3,1
 65.6,0
 67.1,1
 64.6,0
 67.0,1
 70.0,1
 69.9,1
 66.2,0
 64.7,1
 66.9,1
 68.0,1
 69.4,2
 71.3,2
 67.1,2
 64.0,0
 66.9,1
 67.1,0
 69.5,2
 68.5,0
 67.3,1
 73.2,2
 71.6,2
 68.6,1
 70.0,2
 73.2,2
 66.4,1
 66.9,0
 73.5,2
 72.9,2
 70.7,2
 68.9,1
 69.1,2
 70.7,2
 68.8,2
 66.7,1
 74.5,2
 68.8,1
 65.9,1
 67.6,0
 64.7,0
 70.6,2
 75.9,2
 65.5,1
 63.8,0
 67.6,1
 68.2,2
 67.7,1
 70.0,1
 66.2,1
 67.6,2
 66.5,1
 66.9,0
 71.5,2
 66.4,0
 67.2,1
 65.4,0
 64.8,0
 68.3,0
 72.3,2
 69.3,2
 67.5,1
 69.2,1
 66.0,0
 70.0,1
 69.6,1
 68.5,1
 72.2,2
 71.2,2
 61.8,0
 67.2,1
 64.4,0
 66.6,1
 72.4,2
 64.2,0
 71.7,2
 70.0,1
 64.9,1
 66.5,1
 66.8,1
 76.1,2
 69.8,2
 64.7,1
 65.0,0
 68.8,2
 69.7,2
 69.6,2
 69.9,1
 67.8,2
 71.4,2
 70.4,2
 71.7,2
 72.2,2
 67.6,2
 68.0,1
 69.0,2
 68.4,1
 67.2,1
 74.7,2
 65.2,0
 64.3,0
 70.9,2
 71.8,2
 71.5,2
 67.2,1
 65.1,0
 67.0,2
 71.5,2
 66.8,1
 65.5,1
 74.1,2
 66.7,1
 64.8,0
 64.8,0
 73.2,2
 66.9,1
 73.5,2
 70.0,1
 70.6,2
 70.8,2
 66.9,1
 69.1,2
 68.3,1
 64.2,1
 67.8,1
 67.9,2
 71.3,2
 68.3,2
 66.5,1
 69.4,1
 67.5,1
 69.4,1
 64.5,0
 64.1,0
 69.2,1
 68.6,1
 69.6,1
 71.0,0
 70.0,1
 65.0,0
 69.0,1
 64.6,0
 71.9,2
 73.9,2
 71.9,2
 65.0,1
 68.5,2
 64.2,0
 68.4,1
 65.8,1
 72.0,2
 71.1,2
 65.6,1
 65.4,1
 65.0,1
 68.8,0
 65.8,0
 74.1,2
 70.0,1
 67.9,1
 69.1,1
 65.5,0
 68.9,1
 70.1,2
 67.6,1
 71.5,2
 64.7,0
 65.8,1
 63.9,0
 69.1,1
 68.0,1
 67.3,1
 74.1,2
 65.5,1
 66.4,2
 67.3,1
 67.0,0
 66.5,0
 62.9,1
 65.7,0
 66.6,0
 70.0,1
 69.4,1
 65.7,0
 65.4,0
 63.1,1
 67.5,0
 67.7,0
 65.7,1
 68.5,1
 67.4,1
 66.8,1
 70.3,2
 69.6,1
 73.5,2
 72.7,2
 65.9,0
 68.5,1
 67.6,2
 69.6,2
 71.0,2
 64.6,0
 66.4,1
 65.6,0
 70.0,1
 66.7,1
 66.5,0
 72.9,2
 69.4,2
 65.0,0
 68.6,2
 70.0,1
 74.5,2
 67.5,1
 66.9,1
 64.8,0
 65.8,1
 66.5,0
 67.8,1
 71.5,2
 64.2,0
 69.5,1
 65.8,2
 70.0,1
 75.1,2
 69.9,1
 68.9,0
 64.2,0
 68.2,1
 70.7,2
 65.7,1
 62.3,0
 67.0,1
 68.3,0
 67.4,0
 66.5,1
 75.5,2
 67.7,0
 68.4,1
 66.0,0
 69.7,1
 65.1,0
 66.3,1
 66.8,0
 66.6,1
 66.2,0
 68.6,1
 70.3,2
 69.3,2
 66.9,1
 66.0,1
 73.2,2
 65.7,1
 68.8,1
 66.8,1
 67.6,2
 68.1,1
 67.3,1
 66.1,0
 64.0,0
 69.4,1
 65.7,0
 68.6,1
 67.6,2
 66.9,0
 64.8,0
 67.8,1
 66.5,0
 71.8,2
 66.4,1
 66.5,0
 68.7,1
 68.0,1
 68.4,1
 66.2,1
 71.9,2
 70.0,1
 65.0,0
 64.8,1
 67.8,0
 69.5,1
 72.1,2
 69.6,1
 68.3,2
 67.5,1
 69.1,1
 66.8,0
 70.5,2
 69.4,1
 70.1,0
 67.1,2
 72.8,2
 64.5,0
 67.4,1
 72.0,2
 70.0,1
 68.2,1
 70.9,2
 69.7,2
 69.0,1
 71.8,2
 70.0,1
 66.4,1
 70.0,2
 66.1,0
 66.0,1
 69.7,2
 70.0,1
 67.3,1
 68.6,2
 66.8,0
 71.7,2
 68.1,0
 67.6,1
 66.0,0
 66.6,0
 72.3,2
 68.1,2
 66.5,1
 67.1,0
 68.7,1
 66.3,0
 66.6,0
 66.1,0
 73.0,2
 65.2,0
 68.0,1
 69.5,1
 68.8,1
 66.2,0
 69.8,2
 65.7,0
 68.7,1
 69.2,1
 69.9,1
 66.0,0
 66.3,0
 69.5,2
 68.8,1
 66.4,0
 70.0,1
 67.5,1
 69.7,1
 67.7,2
 72.8,2
 64.5,0
 69.1,1
 70.0,1
 67.7,1
 67.6,1
 66.8,0
 65.7,1
 73.1,2
 69.9,2
 67.9,0
 65.3,0
 68.0,1
 68.4,1
 66.1,0
 66.3,1
 70.0,1
 71.9,2
 70.0,1
 64.8,0
 70.4,2
 67.2,0
 66.5,0
 63.5,0
 65.2,0
 65.3,0
 70.0,1
 64.5,0
 77.0,2
 65.7,1
 66.4,1
 76.6,2
 65.7,1
 71.2,2
 70.0,1
 70.0,1
 72.8,2
 68.7,1
 67.0,0
 75.3,2
 67.3,1
 67.8,0
 70.0,1
 66.0,0
 69.6,2
 70.0,1
 69.1,2
 66.1,0
 67.9,2
 69.7,1
 65.9,0
 70.0,1
 64.1,0
 66.1,0
 69.0,1
 66.9,0
